"Designator","Footprint","Quantity","Value","LCSC Part #"
"_3","JTAG_TO","1","",""
"_2","STAND-OFF-REFLOW-M2.5","1","",""
"","MICROMOD_LOGO_.6","1","",""
"C1, C10, C11, C3, C4, C8, C9","1206","7","0.1uF",""
"C2","1206","1","4.7uF",""
"C5, C6","1206","2","22pF",""
"D2, D4, D5, D6","805","4","LED",""
"D3","805","1","THR_STAT",""
"F2","1812","1","Polyfuse_3A_15V",""
"J1","PinHeader_2x05_P1.27mm_Horizontal","1","JTAG_SWD_CONN",""
"J10","PinSocket_2x03_P2.54mm_Vertical","1","DRV_HIGH_C2",""
"J11","PinSocket_2x03_P2.54mm_Vertical","1","DRV_LOW_C2",""
"J12","PinSocket_1x03_P2.54mm_Vertical","1","DRV_HIGH_C3",""
"J13","PinSocket_1x03_P2.54mm_Vertical","1","DRV_LOW_C3",""
"J14","PinSocket_1x10_P2.54mm_Vertical","1","DRV_LOW_C1",""
"J15","PinHeader_1x03_P2.54mm_Horizontal","1","Brake/FwRev",""
"J16","TerminalBlock_MetzConnect_Type011_RT05502HBWC_1x02_P5.00mm_Horizontal","1","5v_in",""
"J17","TerminalBlock_MetzConnect_Type011_RT05502HBWC_1x02_P5.00mm_Horizontal","1","3.3v_in",""
"J18","TerminalBlock_MetzConnect_Type011_RT05502HBWC_1x02_P5.00mm_Horizontal","1","12v_in",""
"J19","JST-2-PTH","1","~",""
"J2","PinSocket_2x20_P2.54mm_Vertical","1","Raspberry_Pi_4",""
"J20","JST-6-SMD-1.25MM-LOCKING","1","~",""
"J21","JST_EH_B2B-EH-A_1x02_P2.50mm_Vertical","1","CAN",""
"J22, J4","JST-4-PTH","2","~",""
"J23","PinHeader_1x05_P2.54mm_Vertical","1","5v_rail",""
"J27","PinSocket_1x05_P2.54mm_Vertical","1","12v_rail_f",""
"J28","PinSocket_1x05_P2.54mm_Vertical","1","3.3v_rail_f",""
"J29","PinSocket_1x05_P2.54mm_Vertical","1","5v_rail_f",""
"J30","PinSocket_1x05_P2.54mm_Vertical","1","GND_rail_f",""
"J31","GCT_USB4105-GF-A","1","USB4520-03-0-A_REVA",""
"J32, J34","PinHeader_2x15_P2.54mm_Vertical","2","Conn_02x15_Counter_Clockwise",""
"J33","M.2-CONNECTOR-E","1","~",""
"J5","PinHeader_1x02_P1.27mm_Horizontal","1","THR_EN_JMP",""
"J6","PinHeader_1x07_P2.54mm_Vertical","1","Conn_01x07",""
"J7","PinHeader_1x05_P2.54mm_Vertical","1","Conn_01x05",""
"J8","PinHeader_1x03_P2.54mm_Horizontal","1","Throttle Connector",""
"J9","PinSocket_1x10_P2.54mm_Vertical","1","DRV_HIGH_C1",""
"POT1, POT2","Potentiometer_Bourns_3266W_Vertical","2","TC33X-2-103E","TC33X-2-103E"
"R1, R15, R16, R2, R21, R25, R26, R27, R28, R3, R4","1206","11","10k",""
"R10, R9","1206","2","5.1k",""
"R11, R12, R13, R14","1206","4","2k",""
"R5, R6, R7, R8","1206","4","47k",""
"SW10","SW_DIP_SPSTx02_Slide_6.7x6.64mm_W6.73mm_P2.54mm_LowProfile_JPin","1","SW_DIP_x02",""
"SW2","SW_DIP_SPSTx03_Slide_6.7x9.18mm_W6.73mm_P2.54mm_LowProfile_JPin","1","IO_EXT_ADDR",""
"SW4","SW_DIP_SPSTx01_Slide_6.7x4.1mm_W6.73mm_P2.54mm_LowProfile_JPin","1","5v_USB_EN",""
"SW5","SW_DIP_SPSTx01_Slide_6.7x4.1mm_W6.73mm_P2.54mm_LowProfile_JPin","1","THR_EN",""
"SW6","SW_Push_SPST_NO_Alps_SKRK","1","~{RESET_uMOD}",""
"SW7","SW_Push_SPST_NO_Alps_SKRK","1","~{BOOT_uMOD}",""
"SW8","SW_Push_SPST_NO_Alps_SKRK","1","~{RESET_BRK}",""
"SW9","SW_Push_SPST_NO_Alps_SKRK","1","~{RESET_STR}",""
"U1","SOT-23-6","1","DAC101C081CIMK",""
"U2","SOIC-24W_7.5x15.4mm_P1.27mm","1","PCA9555D",""
"U3","SOT-23-5_HandSoldering","1","74AHC1G08",""
"U5","WQFN-20-1EP_2.5x4.5mm_P0.5mm_EP1x2.9mm","1","FXMA108",""
"U6","SOIC-18W_7.5x11.6mm_P1.27mm","1","MCP2515-xSO",""
"U7","SOIC-8_3.9x4.9mm_P1.27mm","1","SN65HVD230",""
"Y1","Crystal_HC18-U_Vertical","1","16MHz",""
