Designator,Mid X,Mid Y,Rotation,Layer
_3,141.45,-74.1,0.0,top
_2,131.3,-64.75,0.0,top
,124.65,-93.75,0.0,top
C1,175.725,-142.275,270.0,top
C10,129.65,-138.05,0.0,top
C11,147.125,-88.7,270.0,top
C2,178.05,-142.275,270.0,top
C3,137.13,-98.91,270.0,top
C4,160.65,-113.025,270.0,top
C5,143.425,-117.525,90.0,top
C6,143.425,-122.175,90.0,top
C8,115.375,-129.375,0.0,top
C9,131.95,-129.1,180.0,top
D2,153.8875,-71.475,180.0,top
D3,197.45,-145.975,0.0,top
D4,153.8,-56.0,180.0,top
D5,162.3,-104.85,180.0,top
D6,162.25,-94.65,0.0,top
F2,65.1125,-117.35,180.0,top
J1,144.42,-71.415,90.0,top
J10,168.33,-76.19,0.0,top
J11,175.52,-114.79,0.0,top
J12,174.65,-78.75,90.0,top
J13,181.84,-117.335,90.0,top
J14,169.3,-100.79,0.0,top
J15,202.825,-151.365,0.0,top
J16,76.15,-50.3,0.0,top
J17,87.65,-50.3,0.0,top
J18,99.4,-50.3,0.0,top
J19,159.15,-155.5,0.0,top
J2,55.07,-95.8,180.0,top
J20,145.525,-154.5,0.0,top
J21,152.55,-96.25,270.0,top
J22,63.2,-135.35,0.0,top
J23,61.7,-51.44,0.0,top
J24,57.1,-51.44,0.0,top
J25,52.55,-51.45,0.0,top
J26,66.15,-51.2,0.0,top
J27,52.3,-145.25,0.0,top
J28,56.9,-145.25,0.0,top
J29,61.5,-145.25,0.0,top
J30,66.1,-145.25,0.0,top
J31,78.85,-154.955,0.0,top
J32,126.78,-47.37,90.0,top
J33,126.5,-86.65,0.0,top
J34,126.37,-54.27,270.0,top
J4,73.95,-135.35,0.0,top
J5,196.735,-148.6,270.0,top
J6,123.94,-151.95,90.0,top
J7,103.35,-152.2,270.0,top
J8,202.55,-140.55,0.0,top
J9,162.05,-62.24,0.0,top
POT1,173.09,-127.37,0.0,top
POT2,172.9,-132.98,0.0,top
R1,160.675,-118.6,90.0,top
R10,83.0,-140.8,90.0,top
R11,125.4,-115.75,180.0,top
R12,125.38,-118.06,180.0,top
R13,120.325,-135.725,270.0,top
R14,120.3,-131.075,90.0,top
R15,179.95,-134.55,0.0,top
R16,184.05,-143.1,180.0,top
R2,184.0,-140.5,0.0,top
R21,197.45,-143.625,0.0,top
R25,153.8625,-69.0,180.0,top
R26,153.7125,-58.4,180.0,top
R27,162.0,-102.4,180.0,top
R28,161.95,-97.05,0.0,top
R3,169.8,-153.7875,270.0,top
R4,179.9,-128.5,0.0,top
R5,100.6375,-134.1,0.0,top
R6,100.575,-131.3,0.0,top
R7,100.6375,-136.75,0.0,top
R8,74.225,-140.825,90.0,top
R9,78.0,-140.8125,90.0,top
SW10,176.45,-153.45,0.0,top
SW2,116.91,-117.315,270.0,top
SW4,90.1,-151.215,270.0,top
SW5,195.3,-138.0,180.0,top
SW6,115.1,-103.1,180.0,top
SW7,124.45,-103.1,180.0,top
SW8,177.15,-46.75,180.0,top
SW9,167.85,-46.85,180.0,top
U1,172.45,-143.75,0.0,top
U2,112.15,-138.515,270.0,top
U3,150.7,-86.25,0.0,top
U5,129.65,-133.8,0.0,top
U6,152.3,-116.62,270.0,top
U7,142.2,-96.75,270.0,top
Y1,139.2,-119.725,270.0,top
